ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
730|Kunio-kun no Dodgeball da yo Zen'in Shūgō!!|Technōs Japan|Unreleased|1993||"Kunio-kun no Dodgeball da yo Zen'in Shūgō!! is a video game developed and published by Technōs Japan. It was released in Japan on August 6, 1993. The game has not been released in North America or the PAL region."
731|Kunio-kun no Dodge Ball: Zenin Shuugou! Tournament Special|Technōs Japan|Unreleased|1993||"Kunio-kun no Dodge Ball: Zenin Shuugou! Tournament Special is a video game developed and published by Technōs Japan. It was released in Japan on August 6, 1993. The game has not been released in North America or the PAL region."
732|Kuusou Kagaku Sekai Gulliver Boy|Bandai|Unreleased|1996||"Kuusou Kagaku Sekai Gulliver Boy is a video game developed by Amble and published by Bandai. It was released in Japan on June 27, 1996. The game has not been released in North America or the PAL region."
733|Kyle Petty's No Fear Racing•Circuit USAJP|Williams Entertainment|1995|1995||"Kyle Petty's No Fear Racing is a video game developed by Leland Interactive Media and published by Williams Entertainment. It was released in Japan on June 30, 1995, and in North America on April 1, 1995. The game has not been released in the PAL region."
734|Kyouraku Sanyou Maruhon Parlor! Parlor!|Nippon Telenet|Unreleased|1995||"Kyouraku Sanyou Maruhon Parlor! Parlor! is a video game published by Nippon Telenet. It was released in Japan on March 30, 1995. The game has not been released in North America or the PAL region."
735|Kyouraku Sanyou Maruhon Parlor! Parlor! 2|Nippon Telenet|Unreleased|1995||"Kyouraku Sanyou Maruhon Parlor! Parlor! 2 is a video game published by Nippon Telenet. It was released in Japan on August 25, 1995. The game has not been released in North America or the PAL region."
736|Kyouraku Sanyou Maruhon Parlor! Parlor! 3|Nippon Telenet|Unreleased|1996||"Kyouraku Sanyou Maruhon Parlor! Parlor! 3 is a video game published by Nippon Telenet. It was released in Japan on January 19, 1996. The game has not been released in North America or the PAL region."
737|Kyouraku Sanyou Maruhon Parlor! Parlor! IV CR|Nippon Telenet|Unreleased|1995||"Kyouraku Sanyou Maruhon Parlor! Parlor! IV CR is a video game published by Nippon Telenet. It was released in Japan on December 29, 1995. The game has not been released in North America or the PAL region."
738|Kyouraku Sanyou Maruhon Parlor! Parlor! 5|Nippon Telenet|Unreleased|1996||"Kyouraku Sanyou Maruhon Parlor! Parlor! 5 is a video game published by Nippon Telenet. It was released in Japan on March 29, 1996. The game has not been released in North America or the PAL region."
739|Kyuuyaku Megami Tensei|Atlus|Unreleased|1995||"Kyuuyaku Megami Tensei is a video game developed by Opera House and published by Atlus. It was released in Japan on March 31, 1995. The game has not been released in North America or the PAL region."
740|Lady Stalker: Challenge from the Past|Taito|Unreleased|1995|Adventure| "Lady Stalker: Challenge from the Past is an adventure game released in Japan in 1995. The game follows the story of a protagonist facing challenges from the past."
741|Lagoon|Kemco (JP and EU)Seika Corporation (NA)|1991|1991|Adventure| "Lagoon is an adventure game released in Japan in 1991. The game features a unique storyline and gameplay mechanics that set it apart from other titles in the genre."
742|Lamborghini American Challenge|Titus Software|1993|1993|Racing| "Lamborghini American Challenge is a racing game released in 1993. Players can expect high-speed action and challenging gameplay in this title."
743|Laplace no Ma|Vic Tokai|Unreleased|1995|Role-playing| "Laplace no Ma is a role-playing game set to release in 1995. Dive into a fantasy world filled with magic and adventure in this exciting title."
744|Laser Birdie: Get in the Hole|Richo|Unreleased|1995|Sports| "Laser Birdie: Get in the Hole is a sports game set to release in 1995. Test your golfing skills and aim to get the ball in the hole in this fun title."
745|Last Action Hero|Sony Imagesoft|1993|Unreleased|Action| "Last Action Hero is an action-packed game released in 1993. Join the protagonist on a thrilling adventure filled with danger and excitement."
746|The Last Battle|Techiku|Unreleased|1994|Fighting| "The Last Battle is a fighting game set to release in 1994. Engage in epic battles and showcase your combat skills in this intense title."
747|Last Bible III|Atlus|Unreleased|1995|Role-playing| "Last Bible III is a role-playing game set to release in 1995. Immerse yourself in a rich fantasy world and embark on an epic quest in this captivating title."
748|The Lawnmower Man•Virtual WarsJP|THQ|1993|1994|Action| "The Lawnmower Man•Virtual WarsJP is an action game released in 1993. Enter a virtual world filled with challenges and obstacles in this thrilling title."
749|Leading Company|Koei|Unreleased|1993|Simulation| "Leading Company is a simulation game set to release in 1993. Manage your own company and make strategic decisions to achieve success in this engaging title."
750|Leading Jockey|Carrozzeria|Unreleased|1994|Sports| "Leading Jockey is a sports game set to release in 1994. Experience the thrill of horse racing and compete to become the leading jockey in this exciting title."
751|Leading Jockey 2|Carrozzeria|Unreleased|1995|Sports| "Leading Jockey 2 is a sports game set to release in 1995. Get ready for more horse racing action and new challenges in this anticipated sequel."
752|Legend|Seika Corporation|1994|Unreleased|Adventure| "Legend is an adventure game released in 1994. Embark on a journey filled with mystery and discovery in this captivating title."
753|The Legend of the Mystical Ninja•Ganbare Goemon: Yukihime Kyuushutsu EmakiJP|Konami|1992|1991|Adventure| "The Legend of the Mystical Ninja•Ganbare Goemon: Yukihime Kyuushutsu EmakiJP is an adventure game released in 1991. Join Goemon on a quest to rescue Yukihime in this classic title."
754|The Legend of Zelda: A Link to the Past †•The Legend of Zelda: Triforce of the GodsJP|Nintendo|1992|1991|Adventure| "The Legend of Zelda: A Link to the Past †•The Legend of Zelda: Triforce of the GodsJP is an adventure game released in 1991. Explore the land of Hyrule and embark on a quest to save Princess Zelda in this iconic title."
755|Lemmings|Sunsoft|1992|1991|Puzzle| "Lemmings is a puzzle game released in 1991. Guide the adorable Lemmings through challenging levels and use your wit to solve puzzles in this addictive title."
756|Lemmings 2: The Tribes|Psygnosis|1994|1994|Puzzle| "Lemmings 2: The Tribes is a puzzle game released in 1994. Join the Lemmings on a new adventure and explore different tribes with unique abilities in this engaging title."
757|Lennus II: Fuuin no Shito|Asmik Ace Entertainment|Unreleased|1996|Role-playing| "Lennus II: Fuuin no Shito is a role-playing game set to release in 1996. Dive into a fantasy world and embark on an epic quest in this highly anticipated sequel."
758|Lester the Unlikely•Odekake Lester: Lelele no LeJP|DTMC|1994|1994|Adventure| "Lester the Unlikely•Odekake Lester: Lelele no LeJP is an adventure game released in 1994. Follow the journey of Lester as he overcomes challenges and grows into a hero in this heartwarming title."
759|Lethal Enforcers|Konami|1994|1994|Shooter| "Lethal Enforcers is a shooter game released in 1994. Step into the shoes of a law enforcement officer and take down criminals in this action-packed title."
760|Lethal Weapon|Ocean Software|1992|1992|Action|"Lethal Weapon is a video game based on the popular action movie franchise. Players take on the roles of Martin Riggs and Roger Murtaugh as they fight crime in Los Angeles."
761|Liberty or Death•Dokuritsu Sensou: Liberty or DeathJP|Koei|1994|1994|Strategy|"Liberty or Death is a strategy game set during the American Revolutionary War. Players can choose to lead either the American or British forces in this historical conflict."
762|Libble Rabble|Namco|Unreleased|1994|Puzzle|"Libble Rabble is a unique puzzle game where players must navigate mazes and collect items while avoiding enemies. The game features colorful graphics and challenging gameplay."
763|Light Fantasy|Tonkin House|Unreleased|1992|Role-playing|"Light Fantasy is a role-playing game where players embark on a quest to save the kingdom from an evil sorcerer. The game features turn-based battles and a rich fantasy world to explore."
764|Light Fantasy II|Tonkin House|Unreleased|1995|Role-playing|"Light Fantasy II is the sequel to the original game, continuing the story of the kingdom and its heroes. Players must once again battle evil forces to restore peace to the land."
765|The Lion King|Virgin Interactive|1994|1994|Platformer|"The Lion King is a platformer based on the classic Disney animated film. Players control Simba as he journeys through the Pride Lands to become king. The game features iconic scenes from the movie."
766|Little Magic|Altron|Unreleased|1993|Adventure|"Little Magic is an adventure game where players must solve puzzles and uncover mysteries in a magical world. The game features charming visuals and engaging gameplay."
767|Little Master: Nijiiro no Maseki|Tokuma Shoten|Unreleased|1995|Role-playing|"Little Master: Nijiiro no Maseki is a role-playing game where players collect and train monsters to battle in tournaments. The game offers a variety of creatures to discover and challenges to overcome."
768|Live A Live|Square|Unreleased|1994|Role-playing|"Live A Live is a unique role-playing game where players experience multiple storylines set in different time periods and genres. The game features innovative gameplay mechanics and a compelling narrative."
769|Lock On•Super Air DiverEU|Vic Tokai|1993|1993|Simulation|"Lock On is a flight simulation game where players pilot various aircraft on missions to complete objectives. The game offers realistic controls and challenging missions to test players' skills."
770|Lode Runner Twin: Justy to Liberty no Daibouken|T&E Soft|Unreleased|1994|Action|"Lode Runner Twin is an action game where players navigate maze-like levels to collect treasures while avoiding enemies. The game requires quick thinking and precise movements to succeed."
771|Lodoss Tou Senki: Record of Lodoss War|Kadokawa Shoten|Unreleased|1995|Role-playing|"Record of Lodoss War is a role-playing game based on the popular fantasy novel and anime series. Players embark on an epic quest to save the land of Lodoss from dark forces."
772|Logos Panic|Yutaka|Unreleased|1995|Puzzle|"Logos Panic is a puzzle game where players must match colored blocks to clear the board. The game offers challenging gameplay and colorful visuals to keep players engaged."
773|Looney Tunes B-Ball•Looney Tunes BasketballEU|Sunsoft|1995|Unreleased|Sports|"Looney Tunes B-Ball is a basketball game featuring characters from the popular cartoon series. Players can choose their favorite Looney Tunes characters and compete in wacky basketball matches."
774|Lord Monarch|Epoch Co.|Unreleased|1992|Strategy|"Lord Monarch is a strategy game where players build and manage a kingdom to conquer rival territories. The game offers deep strategic gameplay and a variety of challenges to overcome."
775|The Lost Vikings•Viking no DaimeiwakuJP|Interplay Entertainment|1993|1993|Puzzle|"The Lost Vikings is a puzzle-platformer where players control three vikings with unique abilities to solve challenges and escape from various levels. The game requires teamwork and clever thinking to progress."
776|The Lost Vikings 2|Interplay Entertainment|1997|Unreleased|Puzzle|"The Lost Vikings 2 continues the adventures of the viking trio as they travel through time to rescue their kidnapped friends. Players must use each viking's skills wisely to overcome obstacles and puzzles."
777|Love Quest|Tokuma Shoten|Unreleased|1995|Adventure|"Love Quest is an adventure game where players navigate a romantic storyline to find love. The game offers branching paths and multiple endings based on player choices."
778|Lucky Luke|Infogrames|Unreleased|Unreleased|Action|"Lucky Luke is an action game based on the popular Western comic book series. Players control the cowboy Lucky Luke as he faces off against outlaws and bandits in the Wild West."
779|Lufia & the Fortress of Doom•Estpolis DenkiJP|Taito|1993|1993|Role-playing|"Lufia & the Fortress of Doom is a role-playing game where players embark on a quest to save the world from an ancient evil. The game features turn-based battles and a compelling story with memorable characters."
780|Lufia II: Rise of the Sinistrals|Natsume|1996|1995|RPG|"Lufia II: Rise of the Sinistrals is a role-playing game where the player controls a group of characters on a quest to save the world from evil forces."
781|Lupin III: Densetsu no Hihō o Oe!|Epoch Co.| |1994|Action|"Lupin III: Densetsu no Hihō o Oe! is an action game based on the popular anime series Lupin III, where players control the iconic thief Lupin on various heists."
782|M.A.C.S. Basic Rifle Marksmanship| |1993| |Simulation|"M.A.C.S. Basic Rifle Marksmanship is a simulation game that focuses on teaching players the basics of rifle marksmanship in a virtual environment."
783|Madden NFL '94|Electronic Arts|1993|1993|Sports|"Madden NFL '94 is a sports game based on American football, featuring realistic gameplay and team management elements."
784|Madden NFL '95|Electronic Arts|1994| |Sports|"Madden NFL '95 is a sports game that continues the franchise with updated rosters and gameplay improvements from its predecessor."
785|Madden NFL '96|Electronic Arts|1995| |Sports|"Madden NFL '96 is a sports game that introduces new features and improvements to the Madden NFL series, offering an enhanced football gaming experience."
786|Madden NFL 97|Electronic Arts|1996| |Sports|"Madden NFL 97 is a sports game that further refines the gameplay mechanics and graphics of the Madden NFL series, providing an immersive football experience."
787|Madden NFL 98|THQ|1997| |Sports|"Madden NFL 98 is a sports game that marks the end of the Madden NFL series on the Super Nintendo Entertainment System, offering the latest NFL teams and players."
788|Madou Monogatari: Hanamaru Daiyouchienji|Compile| |1996|RPG|"Madou Monogatari: Hanamaru Daiyouchienji is a role-playing game set in a magical school, where players embark on adventures and solve mysteries in a whimsical world."
789|Magic Boy|JVC Musical Industries|1996|1996|Platformer|"Magic Boy is a platformer game where players control a young wizard on a quest to defeat enemies and restore peace to the magical realm."
790|Magic Knight Rayearth|Tomy| |1995|Action-Adventure|"Magic Knight Rayearth is an action-adventure game based on the manga and anime series of the same name, where players guide three heroines on a quest to save a mystical world."
791|Magic Sword|Capcom|1992|1992|Action|"Magic Sword is an action game where players control a hero on a quest to climb a tower and defeat evil forces, utilizing different weapons and magic along the way."
792|Magical Drop|Data East| |1995|Puzzle|"Magical Drop is a puzzle game where players match colored bubbles to clear the screen, featuring fast-paced gameplay and competitive multiplayer modes."
793|Magical Drop 2|Data East| |1996|Puzzle|"Magical Drop 2 is a sequel to the popular puzzle game, introducing new characters, levels, and gameplay mechanics for an enhanced magical matching experience."
794|The Magical Quest Starring Mickey Mouse|Capcom|1992|1992|Platformer|"The Magical Quest Starring Mickey Mouse is a platformer game where players control Mickey on a journey to rescue his dog Pluto, using magical outfits to overcome obstacles."
795|Magical Pop'n|Pack-in-Video| |1995|Action-Platformer|"Magical Pop'n is an action-platformer game where players control a magical girl on a quest to save her kingdom, featuring colorful graphics and challenging levels."
796|Magical Taruruuto-kun: Magic Adventure|Bandai| |1992|Action|"Magical Taruruuto-kun: Magic Adventure is an action game based on the manga series, where players control a young magician on a whimsical adventure filled with puzzles and enemies."
797|Magna Braban: Henreki no Yuusha|ASK| |1994|RPG|"Magna Braban: Henreki no Yuusha is a role-playing game where players embark on a quest to save a kingdom from dark forces, featuring turn-based combat and exploration."
798|Mahjong Club|Hect| |1994|Puzzle|"Mahjong Club is a puzzle game that offers various mahjong challenges and modes for players to enjoy, testing their skills and strategy in the classic tile-matching game."
799|Mahjong Gokuu Tenjiku|Chat Noir| |1994|Puzzle|"Mahjong Gokuu Tenjiku is a mahjong game that follows traditional rules and gameplay, providing an authentic experience for players to enjoy the popular tile-based game."
800|Mahjong Hanjouki|Nichibutsu|Unreleased|1995| |"Mahjong Hanjouki is a mahjong video game released by Nichibutsu in Japan on July 28, 1995. The game features traditional mahjong gameplay with a unique twist."
801|Mahjong Sengoku Monogatari|Yojigen|Unreleased|1994| |"Mahjong Sengoku Monogatari, developed by Khaos and published by Yojigen, was released in Japan on September 23, 1994. The game offers a historical setting for mahjong enthusiasts."
802|Mahjong Taikai II|Koei|Unreleased|1994| |"Mahjong Taikai II, published by Koei, was set to be released in Japan on September 30, 1994. The game promises an immersive mahjong tournament experience."
803|The Mahjong Touhaiden|Video System|Unreleased|1993| |"The Mahjong Touhaiden, developed by Khaos and published by Video System, hit the Japanese market on April 16, 1993. Dive into the world of mahjong with this engaging title."
804|Mahou Poi Poi Poitto!|Takara|Unreleased|1994| |"Mahou Poi Poi Poitto!, developed by Metro and published by Takara, was scheduled for release in Japan on August 5, 1994. Experience magical gameplay in this mahjong-themed game."
805|Mahoujin Guru Guru|Enix|Unreleased|1995| |"Mahoujin Guru Guru, developed by Tam Tam and published by Enix, became available in Japan on April 21, 1995. Embark on a whimsical adventure with this captivating title."
806|Mahoujin Guru Guru 2|Enix|Unreleased|1996| |"Mahoujin Guru Guru 2, the sequel to the original game, was developed by Tam Tam and published by Enix. Players in Japan could enjoy this title starting from April 12, 1996."
807|Majin Tensei|Atlus|Unreleased|1994| |"Majin Tensei, developed and published by Atlus, was released in Japan on January 28, 1994. Immerse yourself in a captivating strategy RPG experience with this title."
808|Majin Tensei II: Spiral Nemesis|Atlus|Unreleased|1995| |"Majin Tensei II: Spiral Nemesis, the sequel to the original game, was developed and published by Atlus. Players in Japan could enjoy this title starting from February 19, 1995."
809|Majuu Ou|KSS|Unreleased|1995| |"Majuu Ou, published by KSS, was set to be released in Japan on August 25, 1995. Enter a world of supernatural creatures and challenges in this intriguing game."
810|Maka Maka|Sigma Enterprises|Unreleased|1992| |"Maka Maka, developed by Office Koukan and published by Sigma Enterprises, was released in Japan on April 24, 1992. Explore a unique gaming experience with this title."
811|Makeruna! Makendou 2: Kimero Youkai Souri|Datam Polystar|Unreleased|1995| |"Makeruna! Makendou 2: Kimero Youkai Souri, developed by Success and published by Datam Polystar, was released in Japan on March 17, 1995. Engage in exciting battles against supernatural foes in this action-packed game."
812|Manchester United Championship Soccer•Lothar Matthäus Super SoccerGER|Ocean Software|Unreleased|1995| |"Manchester United Championship Soccer•Lothar Matthäus Super SoccerGER, developed by Krisalis Software and published by Ocean Software, was set to be released in the PAL region in 1995. Experience soccer excitement with this title."
813|Marchen Adventure Cotton 100%|Datam Polystar|Unreleased|1994| |"Marchen Adventure Cotton 100%, developed by Success and published by Datam Polystar, was released in Japan on April 22, 1994. Join Cotton on her magical adventure in this charming game."
814|Mario & Wario|Nintendo|Cancelled|1993| |"Mario & Wario, developed by Game Freak and published by Nintendo, was scheduled for release in Japan on August 27, 1993. However, the game was later cancelled, leaving fans curious about its gameplay."
815|Mario is Missing!|The Software Toolworks|June 1993| | |"Mario is Missing!, developed and published by The Software Toolworks, was released in North America in June 1993 and in the PAL region in September 1993. Join Mario on an educational adventure to learn about geography."
816|Mario no Super Picross|Nintendo|Unreleased|1995| |"Mario no Super Picross, published by Nintendo, was set to be released in Japan on September 14, 1995. Enjoy a puzzle-solving experience with Mario in this anticipated title."
817|Mario Paint|Nintendo|August 1, 1992|1992| |"Mario Paint, developed and published by Nintendo, was released in Japan on July 14, 1992, in North America on August 1, 1992, and in the PAL region on December 10, 1992. Unleash your creativity with this innovative art tool."
818|Mario's Early Years! Fun with Letters|The Software Toolworks|September 1994| | |"Mario's Early Years! Fun with Letters, developed and published by The Software Toolworks, was released in North America in September 1994. Dive into a fun and educational experience with Mario."
819|Mario's Early Years! Fun with Numbers|The Software Toolworks|October 1994| | |"Mario's Early Years! Fun with Numbers, developed and published by The Software Toolworks, was released in North America in October 1994. Join Mario in a learning adventure focused on numbers."
820|Mario's Early Years! Preschool Fun|Mindscape|1994||"Educational game featuring Mario and friends for preschoolers."
821|Mario's Time Machine|The Software Toolworks|1993||"Educational game where Mario travels through time to collect historical artifacts."
822|Mark Davis' The Fishing Master•Oomono Black Bass Fishing: Jinzouko HenJP|Natsume|1996|1995|Sports|"Fishing simulation game featuring Mark Davis with realistic fishing mechanics."
823|Marko's Magic Football|Acclaim Entertainment|1995||| "Action platformer where Marko uses magic to play football against monsters."
824|Marmalade Boy|Bandai|1995||| "Adventure game based on the manga and anime series Marmalade Boy."
825|Marvel Super Heroes: War of the Gems|Capcom|1996|1996|Fighting|"Fighting game featuring Marvel superheroes battling to retrieve the Infinity Gems."
826|Marvelous: Mouhitotsu no Takarajima|Nintendo| |1996||"Action-adventure game where the player explores an island in search of treasure."
827|Mary Shelley's Frankenstein|Sony Imagesoft|1994||| "Action game based on the novel Frankenstein by Mary Shelley."
828|The Mask|Black Pearl Software|1995|1996||"Action platformer based on the movie The Mask, featuring the character Stanley Ipkiss."
829|Maten Densetsu: Senritsu no Ooparts|Takara| |1995||"Adventure game where the player uncovers ancient mysteries and artifacts."
830|Math Blaster: Episode 1|Davidson & Associates|1994||Educational|"Math learning game for kids with arcade-style gameplay and puzzles."
831|Matsukata Hiroki no Super Trawling|Tonkin House| |1995||"Fishing simulation game with a focus on deep-sea trawling."
832|Matsumura Kunihiro Den: Saikyou no Rekishi o Nurikaero!|Shouei| |1994||"Historical simulation game where the player shapes the history of Matsumura Kunihiro."
833|Maui Mallard in Cold Shadow•Donald in Maui MallardEU|Nintendo|1997|1996||"Action-adventure game featuring Donald Duck in a tropical setting."
834|Mazinger Z|Bandai|1993||| "Action game based on the anime and manga series Mazinger Z."
835|Mecarobot Golf•Serizawa Nobuo no Birdie TryJP|Toho|1993|1992||"Golf simulation game featuring mecha robots and challenging courses."
836|MechWarrior•BattleTechJP|Activision|1993|1993|Simulation|"Mech combat simulation game based on the BattleTech universe."
837|MechWarrior 3050•BattleTech 3050JP|Activision|1995|1996|Simulation|"Sequel to MechWarrior featuring enhanced graphics and new mechs to pilot."
838|Mega Lo Mania•Mega-Lo-Mania: Jikū DaisenryakuJP|Virgin Interactive| |1993|Strategy|"Real-time strategy game where the player controls civilizations to conquer islands."
839|Mega Man 7•Rockman 7: Shukumei no Taiketsu!JP|Capcom (JP and NA)Laguna GmbH (EU)|1995|1995|Action|"Seventh installment in the Mega Man series with new bosses and abilities for Mega Man."
840|Mega Man Soccer•Rockman's SoccerJP|Capcom|1994|1994|Sports|"Mega Man Soccer, known in Japan as Rockman's Soccer, is a sports game released in 1994. It features characters from the Mega Man series playing soccer matches."
841|Mega Man X †•Rockman XJP|Capcom (JP and NA)Nintendo (EU)|1994|1993|Action|"Mega Man X, known as Rockman X in Japan, is an action game released in 1993. It follows the adventures of Mega Man X in a futuristic world."
842|Mega Man X2•Rockman X2JP|Capcom (JP and NA)Laguna GmbH (EU)|1995|1994|Action|"Mega Man X2, known as Rockman X2 in Japan, is an action game released in 1994. It continues the story of Mega Man X in his battle against evil forces."
843|Mega Man X3 †•Rockman X3JP|Capcom (JP and NA)Laguna GmbH (EU)|1996|1995|Action|"Mega Man X3, known as Rockman X3 in Japan, is an action game released in 1995. It introduces new gameplay elements and challenges for players."
844|Melfand Stories|ASCII||1994||Adventure|"Melfand Stories is an adventure game released in 1994. It offers a unique storytelling experience with engaging characters and plot twists."
845|Metal Combat: Falcon's Revenge|Nintendo|1993||Action|"Metal Combat: Falcon's Revenge is an action game released in 1993. Players pilot giant mechs to battle enemies and save the world."
846|Metal Marines•MilitiaJP|Namco (JP and NA)Mindscape (EU)|1993|1994|Strategy|"Metal Marines, known as Militia in Japan, is a strategy game released in 1994. Players must strategically deploy military units to defend against enemy attacks."
847|Metal Max 2|Data East||1993||RPG|"Metal Max 2 is a role-playing game released in 1993. Players explore a post-apocalyptic world, customize vehicles, and engage in turn-based battles."
848|Metal Max Returns|Data East||1995||RPG|"Metal Max Returns is a role-playing game released in 1995. It is a remake of the original Metal Max with enhanced graphics and gameplay features."
849|Metal Morph|FCI|1994||Action|"Metal Morph is an action game released in 1994. Players control a shape-shifting robot to navigate levels and defeat enemies."
850|Metal Slader Glory: Director's Cut|Nintendo|2000||Adventure|"Metal Slader Glory: Director's Cut is an adventure game released in 2000. It is an enhanced version of the original Metal Slader Glory with additional content."
851|Metal Warriors|Konami|1995||Action|"Metal Warriors is an action game released in 1995. Players pilot customizable mechs in intense battles across various environments."
852|Michael Andretti's Indy Car Challenge|Bullet-Proof Software|1994|1994|Racing|"Michael Andretti's Indy Car Challenge is a racing game released in 1994. Players compete in high-speed races inspired by the IndyCar series."
853|Michael Jordan: Chaos in the Windy City|Electronic Arts|1994||Action|"Michael Jordan: Chaos in the Windy City is an action game released in 1994. Players control Michael Jordan as he battles supernatural forces in Chicago."
854|Mickey Mania: The Timeless Adventures of Mickey Mouse|Sony Imagesoft|1994|1995|Platformer|"Mickey Mania is a platformer game released in 1994. Players guide Mickey Mouse through various levels inspired by classic Disney cartoons."
855|Mickey no Tokyo Disneyland Daibōken|Tomy||1994||Adventure|"Mickey no Tokyo Disneyland Daibōken is an adventure game released in 1994. Players explore Tokyo Disneyland with Mickey Mouse and friends."
856|Mickey to Donald: Magical Adventure 3|Capcom|1995||Platformer|"Mickey to Donald: Magical Adventure 3 is a platformer game released in 1995. Players control Mickey and Donald in a magical journey to rescue Minnie and Daisy."
857|Mickey's Ultimate Challenge|Hi Tech Expressions|1994||Puzzle|"Mickey's Ultimate Challenge is a puzzle game released in 1994. Players solve brain-teasing puzzles and challenges with Mickey Mouse."
858|Micro Machines|Ocean Software|1994||Racing|"Micro Machines is a racing game released in 1994. Players race miniature vehicles across household environments in fast-paced competitions."
859|Micro Machines 2: Turbo Tournament|Ocean Software|1996||Racing|"Micro Machines 2: Turbo Tournament is a racing game released in 1996. It offers fast-paced multiplayer races with a variety of vehicles and tracks."
860|Might and Magic II: Gates to Another World|Might and Magic: Book IIJP|Cancelled|1993|RPG|"Might and Magic II: Gates to Another World is a role-playing video game developed by New World Computing and published by Elite Systems. Set in a fantasy world, the game follows the player's journey through various realms to defeat enemies and uncover mysteries."
861|Might and Magic III: Isles of Terra|FCI|1995||RPG|"Might and Magic III: Isles of Terra is a role-playing video game developed by Iguana Entertainment and published by FCI. The game features a rich fantasy world with intricate storylines and challenging gameplay elements."
862|Mighty Morphin Power Rangers|Bandai|1994|1995|Action|"Mighty Morphin Power Rangers is an action game based on the popular TV series. Developed by Natsume and published by Bandai, the game allows players to control their favorite Power Rangers in battles against evil forces."
863|Mighty Morphin Power Rangers: The Movie|Bandai|1995||Action|"Mighty Morphin Power Rangers: The Movie is an action game based on the film of the same name. Developed by Natsume and published by Bandai, the game follows the Power Rangers as they battle enemies to save the world."
864|Mighty Morphin Power Rangers: The Fighting Edition|Bandai|1995||Fighting|"Mighty Morphin Power Rangers: The Fighting Edition is a fighting game featuring characters from the Power Rangers universe. Developed by Natsume and published by Bandai, the game offers fast-paced combat and special moves."
865|Milandra|ASCII Entertainment||1997|||"Milandra is a video game developed by Tomcat System and published by ASCII Entertainment. The game offers a unique gameplay experience set in a futuristic world filled with challenges and mysteries."
866|Mini Yonku Let's & Go!!: Power WGP 2|Nintendo||1998|||"Mini Yonku Let's & Go!!: Power WGP 2 is a racing game developed by Jupiter and published by Nintendo. Players can customize their mini 4WD cars and compete in high-speed races to become champions."
867|Mini Yonku Shining Scorpion: Let's & Go!!|ASCII||1996||Racing|"Mini Yonku Shining Scorpion: Let's & Go!! is a racing game developed by KID and published by ASCII. The game features intense mini 4WD races with strategic gameplay elements and exciting challenges."
868|Miracle Casino Paradise|Carrozzeria||1995||Casino|"Miracle Casino Paradise is a casino game published by Carrozzeria. Players can enjoy various casino games such as slots, poker, and blackjack in a virtual paradise setting."
869|Miracle Girls|Takara||1993||Adventure|"Miracle Girls is an adventure game developed by Now Production and published by Takara. The game follows the story of two magical girls on a quest to save the world from dark forces."
870|Miracle Piano|The Software Toolworks|1991|||Simulation|"Miracle Piano is a simulation game developed and published by The Software Toolworks. Players can learn to play the piano through interactive lessons and music challenges."
871|Miyaji Shachou no Pachinko Fan: Shouri Sengen 2|Planning Office Wada||1995||Casino|"Miyaji Shachou no Pachinko Fan: Shouri Sengen 2 is a pachinko simulation game published by Planning Office Wada. Players can experience the excitement of pachinko parlors and aim for big wins."
872|Mizuki Shigeru no Youkai Hyakkiyakou|KSS||1995||Adventure|"Mizuki Shigeru no Youkai Hyakkiyakou is an adventure game published by KSS. Players can explore a world filled with Japanese folklore creatures and solve mysteries along the way."
873|MLBPA Baseball|EA Sports|1994|1995|Sports|"MLBPA Baseball is a sports game developed by Visual Concepts and published by EA Sports. The game offers realistic baseball gameplay with MLB player rosters and teams."
874|Mohawk & Headphone Jack|Black Pearl Software (NA)THQ (EU)|1996|||Action|"Mohawk & Headphone Jack is an action game developed by Black Pearl Software and published by THQ. Players control the protagonist in a platforming adventure filled with challenges and enemies."
875|Momotarou Dentetsu Happy|Hudson Soft||1996||Board Game|"Momotarou Dentetsu Happy is a board game simulation developed by Make and published by Hudson Soft. Players can experience the fun of managing a railway company and competing against rivals."
876|Monopoly|Parker Brothers|1992||Board Game|"Monopoly is a board game simulation developed by Sculptured Software and published by Parker Brothers. Players can buy, sell, and trade properties to become the wealthiest tycoon in the game."
877|Monopoly (Japanese game)|Tomy|1993||Board Game|"Monopoly is a board game simulation developed and published by Tomy. Players can enjoy the classic gameplay of buying and trading properties to dominate the real estate market."
878|Monopoly 2|Tomy||1995||Board Game|"Monopoly 2 is a board game simulation developed by Tonka and published by Tomy. Players can experience new gameplay features and challenges in this sequel to the classic Monopoly game."
879|Monstania|Pack-In-Video||1996||RPG|"Monstania is a role-playing game developed by Bits Laboratory and published by Pack-In-Video. Players embark on a quest to defeat monsters and save the kingdom in this classic RPG adventure."
880|Monster Maker III: Hikari no Majutsushi|SOFEL||1993||
881|Monster Maker Kids: Ousama ni Naritai|SOFEL||1994||
882|Mortal Kombat|Acclaim Entertainment|1993|1993||
883|Mortal Kombat II|Acclaim Entertainment|1994|1994||
884|Mortal Kombat 3|Williams Entertainment|1995|||
885|Mōryō Senki MADARA 2|Konami||1993||"Mōryō Senki MADARA 2 is a Japanese action-adventure game released in 1993. The game follows the story of a character named Madara as he battles evil forces to save the world."
